PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
7611750;"Archivo Judicial Territorial de la Comunidad de Madrid";"";"";"";"Consulta los siguientes enlaces";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=034f40628a7f7410VgnVCM1000000b205a0aRCRD";"";"";"";"20";"4ª";"Derecha";"";"";"MADRID";"MADRID";"";"";"";"";"";"";"";"";"";"913 329 570 / 912 760 0590";"913 317 639";"ajtcm@madrid.org";"/contenido/entidadesYorganismos/ArchivosCentrosDocumentacion"
91189;"Audiencia Nacional. Juzgado Central de Menores Único";"";"";"";"Metro: Serrano (línea 4), Velázquez (línea 4).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b4f35c2cdc41c010VgnVCM2000000c205a0aRCRD";"GOYA";"CALLE";"V";"14";"1ª";"";"";"";"MADRID";"MADRID";"28001";"1";"RECOLETOS";"4";"SALAMANCA";"441898";"4475164";"40.42508535222886";"-3.6849251359265383";"914 007 436 / 914 007 437";"914 007 438";"audiencianacional.centralmenores@justicia.es";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia/Juzgados"
66672;"Audiencia Nacional. Juzgados Centrales de Instrucción";"";"";"Juzgados Centrales de Instrucción   Número 1.   Teléfono:  917 096 463 / 917 096 464.    Fax:  917 096 465.  Email: audiencianacional.centralinstruccion1@justicia.es     Número 2.   Teléfono: 917 096 533 /   917 096 537 /  917 096 528 / 917 096 527.   Fax:  917 096 541.  Email: audiencianacional.centralinstruccion2@justicia.es     Número 3.   Teléfono: 917 096 520 /  917 096 517 / 917 096 524 / 917 096 522.    Fax:  917 096 825.  Email: audiencianacional.centralinstruccion3@justicia.es     Número 4.   Teléfono: 917 096 511 /  917 096 506 / 917 096 514 / 917 096 512.    Fax:  917 096 515.  Email: audiencianacional.centralinstruccion4@justicia.es     Número 5.   Teléfono: 917 096 480 /  917 096 478 / 917 096 479 / 917 096 477.    Fax:  917 096 486.  Email: audiencianacional.centralinstruccion5@justicia.es     Número 6.   Teléfono:  917 096 470 /  917 096 468 / 917 096 493 / 917 096 475.    Fax:  917 096 475.  Email: audiencianacional.centralinstruccion6@justicia.es";"Metro: Colón (línea 4), Alonso Martínez (líneas 4, 5 y 10).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba4708de2f41c010VgnVCM2000000c205a0aRCRD";"GARCIA GUTIERREZ";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28004";"4";"JUSTICIA";"1";"CENTRO";"441215";"4475262";"40.425917774018146";"-3.6929850504237662";"Ver apartado Servicios";"";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia/Juzgados"
91192;"Audiencia Nacional. Sala de lo Contencioso - Administrativo";"";"";"Sala de lo Contencioso-Administrativo.   Sección 1&amp;ordf;.   Teléfono: 914 007 282 / 914 007 283 / 914 007 284. Fax: 913 970 381. Email: audiencianacional.salacontencioso.s1@justicia.es    Sección 2&amp;ordf;.   Teléfono: 914 007 286 / 914 007 287 / 914 007 288. Fax: 913 970 279. Email: audiencianacional.salacontencioso.s2@justicia.es    Sección 3&amp;ordf;.   Teléfono: 914 007 290 / 914 007 291 / 914 007 292 / 913 970 269. Fax: 913 970 271. Email: audiencianacional.salacontencioso.s3@justicia.es    Sección 4&amp;ordf;.   Teléfono: 914 007 294 / 914 007 295 / 914 007 296. Fax: 913 970 278. Email: audiencianacional.salacontencioso.s4@justicia.es    Sección 5&amp;ordf;.   Teléfono: 914 007 298 / 914 007 299 / 914 007 300. Fax: 914 007 300. Email: audiencianacional.salacontencioso.s5@justicia.es    Sección 6&amp;ordf;.   Teléfono: 914 007 302 / 914 007 303 / 914 007 304. Fax: 913 970 297. Email: audiencianacional.salacontencioso.s6@justicia.es    Sección 7&amp;ordf;.   Teléfono:  914 007 308 / 914 007 307 / 914 007 306. Fax: 913 970 296. Email: audiencianacional.salacontencioso.s7@justicia.es    Sección 8&amp;ordf;.   Teléfono: 914 007 310 / 914 007 311 / 914 007 312. Fax: 913 970 290. Email: audiencianacional.salacontencioso.s8@justicia.es    Juzgados Centrales de lo Contencioso-Administrativo.   Número 1.   Teléfono: 914 007 005. Fax: 914 007 010. Email: audiencianacional.centralcontencioso1@justicia.es    Número 2.   Teléfono: 914 007 021. Fax: 914 007 010. Email: audiencianacional.centralcontencioso2@justicia.es    Número 3.   Teléfono: 914 007 035 / 914 007 037. Fax: 914 007 026. Email: audiencianacional.centralcontencioso3@justicia.es    Número 4.   Teléfono: 914 007 051 / 914 007 053. Fax: 914 007 026. Email: audiencianacional.centralcontencioso4@justicia.es    Número 5.   Teléfono: 914 007 069 / 914 007 068. Fax: 914 007 042. Email: audiencianacional.centralcontencioso5@justicia.es    Número 6.   Teléfono: 914 007 083 / 914 007 085. Fax: 914 007 042. Email: audiencianacional.centralcontencioso6@justicia.es    Número 7.   Teléfono: 914 007 100 / 914 007 085. Fax: 914 007 058. Email: audiencianacional.centralcontencioso7@justicia.es    Número 8.   Teléfono: 914 007 115 / 914 007 117. Fax: 914 007 074. Email: audiencianacional.centralcontencioso8@justicia.es    Número 9.   Teléfono: 914 007 133. Fax: 914 007 058. Email: audiencianacional.centralcontencioso9@justicia.es    Número 10.   Teléfono: 914 007 149. Fax: 914 007 074. Email: audiencianacional.centralcontencioso10@justicia.es    Número 11.   Teléfono: 914 007 163. Fax: 914 007 090. Email: audiencianacional.centralcontencioso11@justicia.es    Número 12.   Teléfono: 914 007 179 / 914 007 106. Fax: 914 007 186. Email: audiencianacional.centralcontencioso12@justicia.es";"Metro: Serrano (línea 4), Velázquez (línea 4).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0db35c2cdc41c010VgnVCM2000000c205a0aRCRD";"GOYA";"CALLE";"V";"14";"";"";"";"";"MADRID";"MADRID";"28001";"1";"RECOLETOS";"4";"SALAMANCA";"441898";"4475164";"40.42508535222886";"-3.6849251359265383";"Ver pestaña Servicios";"";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia/Juzgados"
542;"Audiencia Nacional. Sala de lo Penal";"";"";"Sección 1&amp;ordf;.   Teléfono: 917 096 565 / 917 096 566 / 917 096 571.    Fax:  917 096 577.  Email: audiencianacional.salapenal.s1@justicia.es     Sección 2&amp;ordf;.   Teléfono: 917 096 576 / 917 096 611 / 917 096 570 / 917 096 572. Fax: 917 096 578. Email: audiencianacional.salapenal.s2@justicia.es    Sección 3&amp;ordf;.   Teléfono: 917 096 603 / 917 096 600. Fax: 917 096 608. Email: audiencianacional.salapenal.s3@justicia.es    Sección 4&amp;ordf;.   Teléfono: 917 096 602 /  917 096 604 / 917 096 605.    Fax:  917 096 609.  Email: audiencianacional.salapenal.s4@justicia.es     Sección Sala de Apelación.   Teléfono: 917 096 569 / 917 096 571.   Juzgado Central de lo Penal Único.   Teléfono: 917 096 421 / 917 096 422 / 917 096 423 / 917 096 424. Fax: 917 096 425. Email: audiencianacional.salaapelacion@justicia.es";"Metro: Colón (línea 4), Alonso Martínez (líneas 4, 5 y 10).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=95011076c081c010VgnVCM1000000b205a0aRCRD";"GARCIA GUTIERREZ";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28004";"4";"JUSTICIA";"1";"CENTRO";"441215";"4475262";"40.425917774018146";"-3.6929850504237662";"Ver pestaña Servicios";"";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia/AudienciasTribunales"
6273949;"Audiencia Nacional. Sala de lo Social Única";"";"";"";"Metro: Serrano (línea 4), Velázquez (línea 4).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dd3f68c5a8064310VgnVCM2000000c205a0aRCRD";"GOYA";"CALLE";"V";"14";"";"";"";"";"MADRID";"MADRID";"28001";"1";"RECOLETOS";"4";"SALAMANCA";"441898";"4475164";"40.42508535222886";"-3.6849251359265383";"914 007 258 / 914 007 257 / 914 007 256";"914 007 264";"audiencianacional.salasocial@justicia.es";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia/AudienciasTribunales"
544;"Audiencia Provincial de Madrid. Calle Santiago de Compostela, 100";"";"";"Sala de lo Civil, Secciones 8 a 14, 18 a 22, 24 y 25 y Sala de lo Mercantil, Sección 28  Oficina de Registro y Reparto (Civil) Oficina de atención al ciudadano (Civil) Fiscalía (Audiencia Provincial - Civil) Clínica Médico Forense Información";"Metro: Avenida de la Ilustración (línea 7)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=28111076c081c010VgnVCM1000000b205a0aRCRD";"SANTIAGO DE COMPOSTELA";"CALLE";"V";"100";"";"";"";"";"MADRID";"MADRID";"28035";"3";"PEÑA GRANDE";"8";"FUENCARRAL-EL PARDO";"438950";"4480992";"40.47737142175386";"-3.7202376379239013";"914 937 124 (Información)";"";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia/AudienciasTribunales"
543;"Audiencia Provincial de Madrid. Calle Santiago de Compostela, 96";"";"";"Secciones 1 a 7, 15 a 17, 23, 26, 27, 29 y 30  de lo Penal Oficina del Jurado Oficina de Registro y Reparto de lo Penal Oficina de atención al ciudadano (Penal) Clínica Médico Forense Fiscalía (Penal) Fiscalía - Ejecutorias Audiencia Información";"Metro: Avenida de la Ilustración (línea 7), Peña Grande (línea 7).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba211076c081c010VgnVCM1000000b205a0aRCRD";"";"";"";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"";"";"";"";"";"914 937 124 (Información)";"";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia/AudienciasTribunales"
51493;"Clínica Médico Forense";"";"";"";"Metro: Plaza de Castilla (líneas 1, 9 y 10), Valdeacederas (línea 1)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef42e7510551c010VgnVCM2000000c205a0aRCRD";"CASTILLA";"PLAZA";"V";"1";"BAJA";"";"";"";"MADRID";"MADRID";"28046";"3";"CASTILLEJOS";"6";"TETUAN";"441500";"4479623";"40.46522363588108";"-3.690027045206217";"914 932 502";"914 932 503";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
8037447;"Consejo General del Poder Judicial. Sede central";"";"";"";"Metro: Colón (línea 4)  Renfe: Recoletos (C1)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=15e792540b14d410VgnVCM2000000c205a0aRCRD";"MARQUES DE LA ENSENADA";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28004";"4";"JUSTICIA";"1";"CENTRO";"441254";"4475064";"40.424140329881254";"-3.692512607309664";"917 006 100";"";"";"/contenido/entidadesYorganismos/EntidadesAdministracionJusticia"
